timestamp,body,source,language_guess,possibly_sensitive,retweet_count,reply_count,like_count,quote_count,impression_count,is_retweet,retweeted_user,is_quote_tweet,quoted_user,is_quote_withheld,is_reply,replied_user,is_withheld,hashtags,urls,mentions,place_name,sentiment
2023-10-07 23:59:20,"i got asked to do a thread of celebrities that support Palestine but today i only saw simihaze posting in support of Palestine and they’re Palestinian. is sad cause all their close friends are posting “i stand with israel” knowing simi, haze, fai, gigi and bella are Palestinian. https://t.co/z6fUIjjhdO",Twitter for iPhone,en,no,10009,354,65214,600,4702379,no,NA,no,,no,no,,no,,,,,0.01934123402
2023-10-07 23:59:32,"Celebrations erupt across the Middle East as Gaza launches unprecedented attack on Israel.

Is the world rooting for Hamas?

Why are people celebrating the deaths of innocent Israelis?

This is a disgrace.

https://t.co/ffDX3vpbyk",Twitter for Android,en,no,123,351,946,35,439845,no,NA,no,,no,no,,no,,,,,-0.3189526128
2023-10-07 23:59:13,stand up for me (a jew) and oppose Israel today,Twitter for Android,en,no,17,3,239,0,5275,no,NA,yes,Eve_Barlow,no,no,,no,,,,,-0.158113883
2023-10-07 23:59:52,@ErezAlshech @ukraine_map @visegrad24 All this while going to a concert to PROMOTE PEACE!. I stand with Israel.,Twitter for Android,en,no,1,2,57,0,9804,no,NA,no,,no,yes,ErezAlshech,no,,,"ErezAlshech,ukraine_map,visegrad24",,0.414254925
2023-10-07 23:59:34,Israeli mom and her two daughters were kidnapped and taken hostage by Hamas. How do women and children civilians pose a threat? (Shared from Hananya Naftali) https://t.co/thHEb2h3Y7,Twitter for iPhone,en,no,2,1,7,0,413,no,NA,no,,no,no,,no,,,,,-0.4160251472
2023-10-07 23:59:26,"The Terrorist Taliban, ISIS, Hamas, are all cut from the same cloth.

The cloth of ignorance and insanity.

They are hell bent on making you their slaves or dying trying.

We must not give an inch to these people.

#Israel #Palestine #Attack #Hamas #Iran #Gaza https://t.co/TtvS8uBXeU",Twitter for Android,en,no,23,33,164,2,59863,no,NA,no,,no,no,,no,"Israel,Palestine,Attack,Hamas,Iran,Gaza",,,,-0.3608439182
2023-10-07 23:59:19,"Let's pray again and again
🤲
May Allah helps Palestinians as helped Muslims in Badar.
❤️
And bless freedom to Palestinians 

Ameen 
❣️🕊️

Gaza  Palestine Mossad State of War Tel Aviv
#savas
#FreePalestine
#Israel
#Hamas #GazaUnderAttack #طوفان_الأقصى #جوري_المغربيه #طوفان_القدس https://t.co/VsDQ3tJUVW",Twitter for Android,en,no,8,8,60,0,49382,no,NA,no,,no,no,,no,"savas,FreePalestine,Israel,Hamas,GazaUnderAttack,طوفان_الأقصى,جوري_المغربيه,طوفان_القدس",,,,0.4543441113
2023-10-07 23:59:15,I know Zelenskyy is PISSED because now that Israel is at war he can't get his salary paid by the US government weekly,Twitter for Android,en,no,0,0,9,0,312,no,NA,no,,no,no,,no,,,,,-0.3336230625
2023-10-07 23:59:46,Hamas harden your heart https://t.co/OqPeYlp6uS,Twitter for Android,en,no,10,0,139,0,5000,no,NA,no,,no,no,,no,,,,,-0.08333333333
2023-10-07 23:59:54,"🚨WARNING: VERY GRAPHIC. Update:

The woman seen in the viral video whose naked corpse is being paraded around by Palestinian terrorists has turned out to be the body of a German citizen who was visiting Israel for a music festival.

Many of the Hamas defenders falsely claimed… https://t.co/XAfNhmH5sg",Twitter for iPad,en,no,132,91,535,80,324946,no,NA,no,,no,no,,no,,,,,-0.2886751346
